iter	Passed	Remaining
0	173	173318
1	179	89344
2	190	63339
3	198	49445
4	206	41098
5	213	35414
6	216	30687
7	218	27125
8	221	24351
9	222	22060
10	225	20254
11	228	18824
12	230	17516
13	233	16411
14	234	15409
15	236	14521
16	238	13763
17	239	13072
18	241	12457
19	243	11937
20	245	11461
21	247	11013
22	249	10591
23	250	10204
24	252	9853
25	254	9527
26	255	9213
27	257	8922
28	258	8663
29	260	8421
30	261	8186
31	263	7961
32	264	7756
33	266	7568
34	267	7379
35	269	7211
36	270	7042
37	271	6883
38	274	6763
39	275	6620
40	277	6483
41	278	6353
42	279	6229
43	281	6111
44	282	6003
45	284	5895
46	285	5791
47	287	5707
48	289	5612
49	290	5518
50	291	5432
51	293	5352
52	295	5271
53	296	5191
54	297	5114
55	299	5041
56	300	4972
57	302	4910
58	303	4843
59	305	4778
60	306	4718
61	307	4658
62	309	4600
63	310	4543
64	311	4487
65	313	4434
66	314	4381
67	315	4322
68	317	4279
69	318	4233
70	320	4191
71	321	4146
72	323	4102
73	324	4064
74	326	4025
75	327	3984
76	329	3944
77	330	3903
78	332	3872
79	333	3837
80	335	3801
81	336	3766
82	337	3731
83	339	3698
84	340	3662
85	341	3630
86	342	3593
87	343	3562
88	344	3530
89	346	3505
90	348	3479
91	349	3453
92	351	3426
93	352	3401
94	354	3379
95	356	3354
96	357	3328
97	358	3303
98	360	3281
99	362	3265
100	364	3242
101	365	3213
102	366	3194
103	369	3179
104	371	3162
105	373	3145
106	376	3141
107	377	3120
108	379	3100
109	380	3081
110	382	3064
111	384	3044
112	385	3024
113	386	3004
114	388	2987
115	389	2968
116	391	2953
117	392	2935
118	393	2915
119	395	2899
120	396	2882
121	398	2866
122	399	2845
123	400	2829
124	402	2815
125	403	2799
126	405	2785
127	406	2768
128	407	2753
129	409	2740
130	410	2725
131	412	2710
132	413	2695
133	415	2685
134	416	2671
135	418	2657
136	419	2644
137	422	2636
138	423	2626
139	425	2614
140	427	2602
141	429	2594
142	431	2583
143	432	2572
144	434	2563
145	437	2556
146	438	2544
147	440	2533
148	441	2523
149	444	2516
150	445	2505
151	446	2493
152	448	2483
153	451	2477
154	452	2466
155	453	2455
156	455	2444
157	456	2434
158	458	2424
159	459	2414
160	461	2404
161	463	2398
162	465	2392
163	467	2383
164	468	2373
165	470	2365
166	472	2355
167	473	2346
168	475	2337
169	477	2331
170	479	2323
171	480	2315
172	482	2306
173	484	2298
174	485	2290
175	487	2282
176	489	2274
177	490	2265
178	492	2257
179	495	2255
180	495	2243
181	497	2235
182	499	2232
183	501	2223
184	502	2214
185	504	2206
186	505	2198
187	507	2190
188	508	2181
189	510	2175
190	512	2168
191	513	2160
192	514	2152
193	516	2144
194	517	2136
195	519	2129
196	520	2121
197	521	2113
198	523	2107
199	525	2100
200	526	2093
201	527	2085
202	529	2077
203	530	2070
204	532	2065
205	534	2058
206	535	2051
207	536	2044
208	538	2038
209	540	2032
210	541	2025
211	543	2018
212	544	2011
213	545	2005
214	547	1998
215	548	1991
216	550	1985
217	551	1977
218	552	1971
219	554	1965
220	555	1958
221	557	1952
222	558	1947
223	560	1940
224	561	1934
225	562	1927
226	564	1921
227	565	1915
228	566	1908
229	568	1904
230	570	1898
231	571	1892
232	573	1886
233	574	1881
234	576	1875
235	577	1869
236	578	1863
237	580	1857
238	581	1851
239	582	1846
240	584	1840
241	585	1835
242	587	1830
243	588	1824
244	590	1818
245	591	1813
246	593	1809
247	594	1803
248	596	1798
249	597	1792
250	599	1787
251	600	1782
252	602	1778
253	604	1774
254	606	1770
255	607	1765
256	608	1760
257	610	1754
258	611	1750
259	613	1746
260	615	1743
261	617	1739
262	619	1735
263	622	1735
264	626	1737
265	631	1741
266	633	1738
267	636	1739
268	639	1738
269	644	1742
270	646	1740
271	651	1744
272	653	1741
273	655	1737
274	659	1737
275	661	1734
276	663	1731
277	665	1728
278	667	1724
279	668	1719
280	670	1716
281	672	1711
282	673	1707
283	675	1703
284	677	1699
285	678	1694
286	680	1689
287	681	1685
288	683	1681
289	684	1676
290	686	1672
