iter	Passed	Remaining
0	168	168732
1	172	85871
2	181	60402
3	192	47867
4	194	38778
5	197	32686
6	199	28312
7	202	25056
8	204	22526
9	207	20584
10	211	19053
11	214	17621
12	215	16370
13	218	15408
14	222	14623
15	224	13821
16	226	13109
17	228	12471
18	230	11897
19	232	11368
20	233	10883
21	237	10537
22	238	10147
23	240	9789
24	242	9447
25	243	9129
26	245	8833
27	246	8562
28	248	8311
29	252	8159
30	253	7935
31	255	7725
32	256	7530
33	258	7343
34	260	7173
35	261	7008
36	263	6852
37	267	6780
38	269	6652
39	271	6518
40	273	6387
41	274	6263
42	276	6149
43	278	6044
44	281	5967
45	283	5878
46	285	5785
47	286	5690
48	288	5605
49	290	5519
50	295	5494
51	296	5414
52	298	5336
53	300	5257
54	301	5181
55	303	5111
56	304	5040
57	306	4972
58	311	4963
59	312	4902
60	314	4840
61	315	4780
62	317	4720
63	318	4664
64	320	4609
65	324	4597
66	327	4563
67	329	4511
68	330	4460
69	332	4411
70	333	4364
71	335	4321
72	336	4276
73	340	4259
74	341	4215
75	343	4173
76	344	4131
77	346	4091
78	347	4052
79	349	4015
80	350	3977
81	354	3968
82	355	3926
83	356	3892
84	358	3858
85	359	3825
86	361	3793
87	362	3761
88	364	3730
89	366	3707
90	368	3685
91	370	3656
92	372	3628
93	374	3607
94	376	3582
95	378	3560
96	379	3536
97	382	3519
98	384	3497
99	386	3480
100	388	3456
101	389	3432
102	391	3409
103	392	3385
104	396	3376
105	397	3353
106	399	3330
107	401	3313
108	402	3291
109	404	3270
110	405	3248
111	407	3227
112	408	3209
113	411	3195
114	412	3175
115	414	3156
116	415	3134
117	416	3115
118	418	3096
119	419	3078
120	421	3060
121	422	3039
122	424	3029
123	426	3013
124	428	2997
125	429	2980
126	430	2961
127	432	2944
128	434	2932
129	435	2917
130	437	2901
131	440	2897
132	442	2882
133	443	2867
134	445	2852
135	446	2837
136	448	2822
137	449	2808
138	451	2794
139	452	2780
140	455	2775
141	456	2759
142	458	2745
143	459	2731
144	460	2718
145	462	2704
146	464	2692
147	465	2680
148	467	2667
149	470	2665
150	471	2653
151	473	2641
